lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
6	A code of this type is already selected. Erase the field first if you need to replace it.																																															dummy
7	A distributor is required	En distributör behövs	Se requiere un distribuidor	Se requiere un distribuidor	Einen Verteiler ist notwendig	Hiervoor is een distributeur nodig		Un distributeur est requis	Un distributeur est requis		???????	???????	?????????? ???????? ????????????	?????????? ? / ????????? ? ?????????????		Penyalur dibutuhkan	?pa?te?ta? ??a? a?t?p??s?p??			Um distribuidor é necessário	????? ????	En distributør skal anføres	Bir bayi gerekiyor	Wymagany jest dystybutor		E\' richiesto un distributore	?? ????? ?? ???????? ??	Este necesar un distributor	Ph?i có nhà phân ph?i	van szukseg egy eloszto	Nevojitet nje distributor	Distributor je vyžadován	??????????? ???????????		Edasimüüja on vajalik	????? ????? ?? ???? ???? ???	Platintojas privalomas		????????????????	Jakelija tarvitaan						?? ????? ?????? ???	Waxaa loo baahanyahay qeybiye.	dummy
8	A GCAC visit form should be added to this visit.	Ett GCAC besöksformulär ska läggas till för detta besök	Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Konsultationsformular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.		Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite		?????????GCAC????	??GCAC??????????????	??? ????? ????????? ?????????? ???????? ????? GCAC.	??? ???? ????????????? ???? ? ????????? GCAC ?????? ??		Formulir kunjungan CGAC harus ditambahkan pada kunjungan ini	??a ep?s?e?? GCAC p??pe? ?a p??ste?e? se a?t?? t?? ep?s?e??.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita.	????? ????? ??????? ??????? ???? ???????		Bu kayda Jenerik Baglanti Kabul Kontrol  vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien byc dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	?? GCAC visit ????? ?? visit ?? ??? ????? ???? ?????.	o forma de vizita GCAC trebuie adaugata la aceasta vizita	Ph?i thêm vào l?n d?n khám này m?t bi?u m?u d?n khám GCAC.		Nje formular konsulte tek GCAC duhet shtuar tek kjo vizite	K návšteve musí být pripojen GCAC formulár	GCAC ????? ?????? ???? ?????? ?? ????? ????????????.		Selle visiidi jaoks peaks lisama GCAC vormi	?? ??? ?????? GCAC ???? ?? ??? ?????? ????? ??? ???.	Prie šio vizito reikalinga prideti GCAC forma		GCAC????????????????????	GCAC vierailu lomake lisätään tämän vierailun.						?? GCAC ??? ????? ??? ????? ??????.	Qaabeysanaha kulanka ee GCAC waa in lagu daraa la kulankan.	dummy
9	A lot number is required	Ett lot-nr krävs!	Un número de lote es requerido	Un número de lote es requerido	Ein Losnummer ist notwendig!	Een lot # is vereist		Un numéro de lot est requis	Un numéros de lot est requis		??????	???????	????? ?????? ???????? ????????????	?????????? ???? ???????? ?		Angka perlu lebih banyak lagi	?pa?te?ta? a???µ?? pa?t?da?		Falta o número de lote	Um número de lote é necessário	??? ?????? ?????	Det er nødvendigt med et serienummer	Bir parti numarasi gerekiyor.	Wymagany jest numer serii		Si richiede il numero del lotto	?? lot ???? ?? ???????? ??	Este necesar un numar de lot	Ph?i có s? lô s?n xu?t		Numri i lotit nevojitet	Požadováno více císel	??????????? ????? ??????	?? ????? ?????	Partiinumber on vajalik	????? ??? ???? ???? ???	Reikalingas partijos numeris		??????????	Eränumero tarvitaan						lot ???? ?????? ???	Tirsiga barxadan waa loo baahanyahay	dummy
10	A lot number is required!	Ett lot-nr krävs!	Un número de lote es requerido!	Un número de lote es requerido!	Ein Losnummer ist notwendig!	Een lot # is vereist!		Un numéro de lot est exigé !	Un numéro de lot est exigé !	Et serienummer kreves!	??????!	????????	????? ?????? ??????????!	?????????? ???? ???????? ?		Angka perlu lebih banyak lagi!	?pa?te?ta? a???µ?? pa?t?da?!		Falta o número de lote!	Um número de lote é necessário!	??? ?????? ?????	Det er nødvendigt med et serienummer	Bir parti numarasi gerekiyor!	Wymagany jest numer serii!		Si richiede il numero del lotto!	?? lot ???? ?? ???????? ??!	Este necesar un numar de lot!	Ph?i có s? lô s?n xu?t!		Numri i lotit nevojitet!	Požadováno více císel	??????????? ????? ??????	?? ????? ????? !	Partiinumber on hädavajalik!	????? ??? ????? ???? ???!	Reikalingas partijos numeris!		??????????!	Eränumero tarvitaan						lot ???? ?????? ???!	Tirsiga barxadan waa loo baahanyahay!	dummy
11	A lowercase letter	En liten bokstav	Una letra minúscula	Una letra minuscula	Kleinbuchstabe	Kleine letter		Une lettre en minuscule	Une lettre en minuscule		????	??????	????????? ?????	????????		Huruf kecil	??a µ???? ???µµa		Letra minúscula	Uma letra minúscula	??? ???? ?? ???????? ??????????	Et \"lille\" bogstav	Bir küçük harf	Mala litera		Lettera minuscola	?? ???? ?????	O litera mica	Dùng ch? thu?ng		shkronje e vogel	malé písmeno	?????? ???????? ???????	??? ?????	Väiketäht	?? ??? ????	Apatinio registro raide		??????	Pieni kirjain						?? ??????? ????	Xarfaha yaryar	dummy
12	A number	Ett tal	Un número	Un número	Nummer	Numeriek		Un nombre	Un nombre		??	????	?????	?????		Angka	??a? a???µ??		Um número	Um número	???	Et tal	Bir sayi	Numer		Un numero	?? ????	Un numar	Ch? s?		numer	Císlo	?????	?????	Number	?? ?????	Skaicius		??	Numero						????	Tiro	dummy
13	A Patient Must Be Selected to Generate This Report																																															dummy
14	A patient with this ID already exists.	En patient med detta ID finns redan	Un paciente con ese Nº ID ya existe	Un paciente con esta ID ya existe	Ein Patient mit dieser ID existiert bereits	Een client met deze ID is al geregistreed		Un patient avec cet identifiant existe déjà.	Un patient avec cet identifiant existe déjà.		????????????	???????????????	??????? ? ???? ID ??? ??????????.	????? ??????????? ??????? ????? ?????????? ????		Pasien dengan ID tersebut telah terdaftar	?p???e? ?d? as?e??? µe a?t?? t?? ??d???.		Já existe um utentecom este ID.	Já existe um paciente com está identificação.	???? ??????? ???? ?????? ?????? ??????	Der findes allerede en patient med dette nummer	Bu ID ile önceden kayitli bir hasta var.	Pacjent z tym numerem ID juz istnieje		Esiste già un paziente con lo stesso ID	?? ?????? ?? ??? ?? ???? ?????? ?? ?? ????? ??.	Un pacient cu acest ID exista deja.	Ðã có b?nh nhân v?i s? ch?ng minh thu này.		Ne sistem aktualisht egziston nje pacient me kete numer identifikimi (ID).	Pacient s tímto ID již existuje	??????? ? ??? ID ??? ?????	?? ID ? ??????? ???? ???	Sellise ID-ga patsient on juba olemas	????? ?????? ?? ??? ????? ??????? ????? ????.	Pacientas su tokiu asmens kodu jau yra		??ID????????????	Potilas tällä ID:llä on jo olemassa.						?? ???? ?? ????? ???????? ???????? ???.	Bukaan aqoonsigan lehi wuu ku jiraa halkan.	dummy
15	A patient with this name already exists.	En patient med detta namn finns redan	Un paciente con este nombre ya existe.	Un paciente con este nombre ya existe	Ein Patient mit diesem Namen existiert bereits	Een client met deze naam bestaat al		Un patient avec ce nom existe déjà.	Un patient avec ce nom existe déjà.	En pasient med dette navnet eksisterer allerede.	??????????	??????????????	??????? ??? ???? ?????? ??? ???????????	?????  ??????? ?????? ????? ?????????? ????		Pasien dengan Nama tersebut telah terdaftar	?p???e? ?d? as?e??? µe a?t? t? ???µa.		Já existe um utentecom este nome.	Já existe um paciente com este nome.	??? ??? ?????? ????? ??????	Der findes allerede en patient med dette navn	Bu isim ile önceden kayitli bir hasta var.	Pacjent o tym nazwisku juz istnieje		Esiste già un paziente con lo stesso nome	?? ??? ???? ??? ?? ???? ?????? ?? ?? ????? ??.	Un pacient cu acest nume exista deja.	Ðã có b?nh nhân v?i tên này.		Ne sistem aktualisht egziston nje pacient me kete emer.	Pacient tohoto jména již existuje	??????? ? ??? ?????? ??? ?????	?? ????? ??????? ???? ???	Sellise nimega patsient on juba olemas	????? ?????? ?? ??? ??? ???? ????.	Pacientas su tokiu vardu jau yra		????????????????	Potilas tällä nimellä on jo olemassa.						?? ?????? ?? ????? ???????? ???????? ???.	Bukaan magacan lehi wuu ku jiraa halkan.	dummy
16	A patient with this SS already exists.	En patient med detta personnummer ( SS ) finns redan	Un paciente con este Nº Seguridad Social ya existe	Un paciente con este numero de Seguro Social ya existe	Ein Patient mit dieser SozVersNr existiert bereits	Een client met deze Soc.Sec. bestaat al		Un patient avec ce numero de sécurité social existe déjà.	Un patient avec ce matriculant existe déjà.		????????????	????????-????????????	??????? ? ???? SS ??? ??????????.	????? ?????????????? ??????? ?????? ????? ?????????? ????		Pasien dengan SS tersebut telah terdaftar	?p???e? ?d? as?e??? µe a?t?? t?? ????.		Já existe um utente com este SS.	Um paciente com este CPF já existe.	??? ?????? ????????? ???? ?????? ????? ??????	Der findes allerede en patient med dette CPRnummer	Bu SGK numarasi ile önceden kayitli bir hasta var.	Pacjent z tym PESELem istnieje		Esiste già un paziente con lo stesso CF	?? SS ?? ??? ?? ???? ?????? ?? ?? ????? ??.	Un pacient cu acest SS exista deja.	Ðã có b?nh nhân v?i s? ASXH này.		Nee pacient me kete SS egziston aktualisht.	pacient s tímto SS již existuje	??????? ? ??? SS (???. ??????. ???.) ??? ?????	?? ???? ?? ??????? ???? ???	Sellise SS numbriga patsient juba eksisteerib	????? ?????? ?? ??? ?? ??? ???? ????.	Pacientas su tokiu socialinio draudimo numeriu jau yra		??SS????????????	Potilas tällä sotulla on jo olemassa.						?? ?? ?????????? ???????? ???????? ???.	Bukaan caymiska bulshada lehi wuu ku jiraa halkan.	dummy
17	A positive number will show that many past appointments on a Widget in the Patient Summary screen (a negative number will show the past appointments in descending order)			Un número positivo mostrará tantas citas pasadas en un Widget en la pantalla de resumen del cliente (un número negativo mostrará las citas pasadas en orden descendente)		Een positief getal laat dat aantal afspraken zien in een Widget een samenvat scherm van de patient (Een negatief nummer laat de vergelopen afspraken zien in een aflopende volgorde)								???????/?????  ???? ??????? ????? ????????? ???????,  ?????? ???? ????? ??? ?????? ?????????????  (????????? ???? ????? ??? ?????? ?????????????? ??????? ??????)						Um número positivo vai mostrar que muitos agendamentos anteriores no Aplicativo na tela de Resumo do Paciente (um número negativo irá mostrar os últimos compromissos em ordem decrescente).		Et positivt tal vil vise dette antal tidligere aftaler på en widget på Patient Resume skærmen. (Et negativt tal vil vise aftalerne i faldende orden.)	Hasta RandevulariÖzeti Sihirbazinda arti bir sayi geçmiste pek çok randevu oldugunu gösterir. ( Eksi bir sayi eski randevulari azalan sirada gösterir.)			Un numero positivo mostrerà che molti appuntamenti passati su un widget nella schermata del sommario paziente(un numero negativo mostrerà gli appuntamenti passati nella videata sommario paziente).			M?t s? duong th? hi?n bao nhiêu l?n h?n tru?c dây t?i m?t Ti?n ích trong màn hình Tóm lu?c B?nh nhân (m?t s? âm th? hi?n các l?n h?n tru?c dây theo th? t? gi?m d?n)			Kladné císlo  zobrazí predchozí návštevy ve widgetu souhrnných údaju pacienta. Záporné císlo  zobrazí predchozí návštevy v sestupném poradí	??????? ????? ?????? ????????? ?????????? ???????? ?? ??????? ? ????? ? ????????? ??????????? ??? ???????? (????????? ????? ?????? ????????????? ???????? ? ??????? ????????)						?????(???????????????????)????]????????????????????????????							?? ????????? ??????? (?? ?????? ????????? ??????? ?????? ???? ???????) ??????????? ?????? ??????? ????? ?? ????? ???? ?????? ???? ???????	Tirada togan waxay ku tusi doonaan in balamo hore oo badani ku jireen agabka koobaaya shaashada Bukaanku (tabanaha tirada waxay ku tusi doonaan balamo si hoos u dhaadhaac leh)	dummy
18	A positive number will show that many past appointments on a Widget in the Patient Summary screen.	Ett positivt nummer kommer visa antalet tidigare bokningar i en ruta på patientöversikten.		Un número positivo mostrará tantas citas pasadas en un Widget en la pantalla de resumen del cliente.	eine positive Zahl in einem Fenster im Zusammenfassungbild der Akte zeigt wieviele Vorstellungen erfolgten	Een positief nummer geeft aan dat er afspraken in verleden geweest zijn in het WIDGET-scherm van de patient		Un chiffre positif montrera autant de rendez-vous depassés sur un Widget dans l\'écran Résumé du patient.						??????? ???? ??????? ????? ????????? ???????,  ?????? ???? ????? ??? ?????? ?????????????			??a? ?et???? a???µ?? ?a eµfa??se? p???? pe?asµ??a ?a?teß?? se ??a Widget st?? ????? µe t?? ??????? ?e??t?.			Um número positivo vai mostrar que muitos agendamentos anteriores no Aplicativo na tela de Resumo do Paciente.	???? ????? ?????? ??? ?????? ????? ??? ???? ?? ???? ???? ??????.	Et positivt tal vil vise dette antal tidligere aftaler på en widget på Patient Resume skærmen.	Hasta RandevulariÖzeti Sihirbazinda arti bir sayi geçmiste pek çok randevu oldugunu gösterir.	Dodatnia liczba pokaze, ze wiele poprzednich spotkan na Widget w pacjencie ekranie Podsumowanie.		Un numero positivo mostrerà che molti appuntamenti passati su un widget nella schermata del sommario paziente.		Un numar pozitiv va arata ca multe programari trecute pe Widget pe ecran in fisa pacientului.	M?t s? duong th? hi?n bao nhiêu l?n h?n tru?c dây t?i m?t Ti?n ích trong màn hình Tóm lu?c B?nh nhân.			Kladné císlo  zobrazí predchozí návštevy ve widgetu souhrnných údaju pacienta.	??????? ????? ?????? ????????? ?????????? ????????? ?? ??????? ? ????? ? ????????? ??????????? ??? ????????.		Positiivne number näitab nii mitu eelnevat visiiti Patsiendi Koondlehe Moodulis				??????????]?????????????????????????????	Positiivinen luku näyttää useilla aiemmilla lähetetyt laatikkoon Potilaan yhteenveto.						?? ????????? ?????? ??????????? ???????? ??????? ????? ?? ????? ???? ?????? ???? ???????.	Tirada togan waxay ku tusi doonaan in balamo hore oo badani ku jireen agabka koobaaya shaashada Bukaanku.	dummy
19	A referral source may be specified for each visit.	Den remitterande instansen kan framgå vid varje besök	Una fuente de derivación puede ser especificada para cada visita	Una fuente de referencia puede ser especificada para cada visita	Überweisungsquelle kann bei jeder Vorstellung neu definiert werden	Aanmaken van verwijs bron kan bij ieder bezoek		Une source de référence peut être spécifiée pour chaque visite.	Une source de référence peut être spécifiée pour chaque visite.		???????????????	????,?????????	???????? ??????????? ????? ???? ?????? ??? ??????? ?????????.	????????????? ???? ????? ?????????????? ???????? ????? ? ??????????		Sumber rujukan harus ditentukan pada tiap kunjungan	?p??e? ?a ???ste? µ?a p??? pa?ap?µp?? ??a ???e ep?s?e??.		Uma fonte de referência pode ser especificada para cada visita	Uma fonte de referência pode ser especificada para cada visita.	???? ????? ???? ??????? ?? ?? ?????	En henvisning kilde kan specificeres for hvert besøg.	Her vizite için sevk eden bir kaynak belirtilebilir.	Zródlo skierowania moze byc okreslone dla kazdej wizyty		Una fonte di riferimento può essere specificata per ogni visita	?? ???????? ???????? visit ?? ??? ????????? ?? ?? ????? ??.	O sursa de referinta va fi specificata pentru fiecare vizita.	Có th? ch? ra ngu?n gi?i thi?u cho m?i l?n d?n khám.		Per cdo vizite mund te specifikohet personi rekomandues.	Ka každé návšteve je nutné zadat zdroj doporucení	??????? ??????????? ???? ?????????? ??? ??????? ????????????		Suunava allika võib määratleda iga visiidi jaoks	???? ??? ???? ?????? ???? ?? ????? ???? ??? ????.			?????????????????????	Lähetteen antaja voidaan määrittää jokaisesta käynnistä.						?? ????? ????? ???????? ??? ????????? ???? ??? ????.	Meesha ay ka soo baxdo raacdadu waxa laga filayaa in ay gaar ahaato markast oo la kulmo.	dummy
20	A related IPPF code is required!	En relaterad IPPF kod krävs!	Un código IPPF relacionado es requerido!	Un código IPPF relacionado es requerido	Ein verknüpfter IPPF Code ist erforderlich!	Een overeenkomstige IPPF code is noodzakelijk!		Un code relatif à IPPF est exigé!	Le code relatif à IPPF est exigé!	En relatert IPPF kode trenges	???????IPPF??!	??????????????????!	????????? c???????? ??? IPPF!	?????????? ? ????????/??? IPPF ???		Diperlukan kode yang berhubungan dengan IPPF!	?pa?te?ta? ??a? s?et???? ??d???? IPPF		Necessario o codigo IPPF	Um código IPPF relacionado é necessário!	???? ????? IPPF  ?? ?????	En relateret IPPF kode kræves.	Ilgili bir IPPF kodu gerekiyor!	Wymagany jest odpowiadajacy kod IPPF!		Si richiede il relativo codice IPFF	?? ??????? IPPF ??? ?? ???????? ??!	Este necesar un cod IPPF.	Ph?i có mã IPPF liên quan!		Numri referues IPPF kerkohet!	Je vyžadován související IPPF kód	??????????? ??? IPPF ? ??????????!		Vajalik on seotud IPPF kood!	?? ?? ?? IPPF ????? ???? ???!			????IPPF????????	Vastaava IPPF koodi vaaditaan!						??????? IPPF ??? ?????? ???!	Waxa loo baahanyahay xidhaalka la xidhiidha IPPF!	dummy
21	A special character	Ett specialtecken	Un carácter especial	Un caracter especial	Sonderzeichen	Een speciaal karakter		Un caractère spécial	Un caractère spécial	Spesialtegn	??????	??	??????????? ??????	?????? ????		Karakter khusus	??a? e?d???? ?a?a?t??a?		Caractere especial	Um caractere especial	??? ???	En special karakter	Özel bir karakter	Znak specjalny		Carattere speciale	?? ????? character	Un caracter special	Ký t? d?c bi?t		Nje karakter special	Speciální znak	??????????? ??????	???? ??????? ???????????	spetsiaalsümbol	?? ??? ????	Specialus simbolis		????	Erikoismerkki						????? ????		dummy
22	A unique value to identify this field, not visible to the user	Ett unikt värde, som ej är synlig för användaren, identifierar detta fält.	Un valor único para identificar este campo, no visible al usuario	Un valor único para identificar este campo, no visible al usuario	Ein eindeutiger Wert um das Feld zu identifizieren, nicht sichtbar für Benutzer	Een unieke waarde om dit veld te identificeren, onzichtbaar voor de gebruiker		Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur	Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur		??????????,?????	?????????????,???????	??? ???????????? ?????????? ???????? ????????????? ????? ???? ?? ?????	??? ????? ??????????????? ??????? ?????  ?????????? ????? ?????????????/?????		Nilai yang unik untuk mengidentifikasi bagian ini, tidak terlihat ke pengguna	??a µ??ad??? t?µ? ??a t?? a?a?????s? a?t?? t?? ped???, µ? ??at? st? ???st?		Um valor único para identificar este campo, não visível para o utilizador	Um valor único para identificar este campo, não visível para o usuário	???? ?????? ??? ??????? ???? ????? ,??? ????? ????????	En unik værdi der identificerer dette område, usynligt for brugeren	Bu alani tanimlayacak,kullaniciya görünmeyen, benzersiz bir deger	Unikalna wartosc identyfikujaca to pole, nie widoczna dla uzytkownika		Valore unico di identificazione per questo campo, non visibile all\'utente	?? ??????? ?? ????? ???? ?? ??? ?? ????? ?????, ?????????? ???? ??? ???? ???	O valoare unica pentru identificarea acestui camp, dar ne-vizibila de user.	M?t giá tr? duy nh??t d? xác d?nh tru?ng này, không hi?n th? cho ngu?i s? d?ng		Nje vlere unike per te identifikuar kete fushe, e padukshme per perduruesin	Unikátní identifikátor pole není pro uživatele viditelný	????????? ???????? ????????????? ????? ????, ?? ?????? ??? ???????????		Unikaalne väärtus selle välja jaoks, pole kasutajale nähtav	?? ????? ????? ?? ??? ???? ??????? ??? ????? ???? ????? ???? ?????? ????			?????????????????????????????????	Yksilöllinen arvo tähän kenttään. Ei näy käyttäjälle.						?? ???????? ?????, ????????? ???? ???? ?? ????????? ???????????		dummy
